,Parameter:,Unit:,Year:,Source:,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote Dlvoire,Djibouti,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe ,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe,China,USA,Sri Lanka,India,Bangladesh
,Percentage of children under 5 years of age who are stunted,%,2012,FAO,29.2,34,31.4,35.1,57.5,NA,31.7,40.7,39.9,32.1,42.6,21.2,NA,33.5,26.2,50.3,40.4,17.5,25,18.7,35.8,27.6,26,33.2,32.1,49.2,42.4,38.5,22,NA,43.1,23.1,43,32.9,44.3,17.2,19.4,7.9,37.9,25.3,23.9,31.1,38.2,25.5,34.8,27.5,33.7,40,27.6,,,,,
,Percentage of children under 5 years of age affected by wasting,%,2012,FAO,8.2,4.5,7.2,15.4,6.1,NA,5.2,7.4,13,11.1,8.1,8.2,NA,21.5,3.1,15.3,8.7,3.4,11.1,4.7,5.6,6,4,2.8,5.6,15.2,3.8,15.3,11.6,NA,6.1,7.1,18.7,7.9,3,4,5.7,4.3,9.4,15,4.7,22.7,16.3,2,6.6,6.7,4.8,6.3,3.3,,,,,
,Percentage of children under 5 years of age who are underweight,%,2012,FAO,15.6,18,11.2,26.2,29.1,11.8,15.1,23.5,30.3,16.9,11.8,23.4,15.7,29.8,5.6,38.8,25.2,6.5,16.4,11,16.3,17,11,10.3,15.3,36.8,16.7,27.9,19.5,13,15.6,13.2,37.9,19.8,11.7,14.4,12.8,3.6,18.1,23,8.7,27.6,33,5.8,13.6,16.2,14.1,14.8,11.2,,,,,
,Percentage of children under 5 years of age who are overweight,%,,,5.3,1.7,11.2,2.8,2.9,NA,6.7,1.8,2.5,10.9,4.4,5.9,NA,8.1,9.7,1.9,2.6,7.7,3.2,2.6,3.1,2.3,4.1,7.4,3.2,6.2,5.1,4.7,1.2,NA,7.9,4.1,3,1.8,7.1,2.4,1.3,10.2,8.9,3,19.2,6,3,9,5.5,2,3.8,6.2,3.6,,,,,
,Percent of adults who are underweight,,,FAO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,Prevalence of anemia among pregnant women,%,2011,FAO,NaN,NaN,NaN,NaN,NaN,NaN,49.5,NaN,NaN,NaN,NaN,NaN,57,31.7,53.2,NaN,NaN,60.4,55.9,NaN,NaN,NaN,36,30.6,NaN,33.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.5,NaN,45.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.4,NaN,NaN,,,,,
,Prevalence of school-age children (6-12 yrs) with insufficient iodine intake,%,2001,FAO,NaN,NaN,NaN,NaN,NaN,NaN,91.7,NaN,NaN,NaN,NaN,NaN,27.6,NaN,NaN,NaN,NaN,30.5,NaN,NaN,NaN,NaN,36.8,21.5,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,3.9,NaN,NaN,,,,,
,Number of people undernourished,Million People,,,3.5,1.1,0.6,3.7,NA,NA,1.9,2.9,4.6,NA,NA,1.3,NA,0.1,NA,NA,28.6,0.1,0.2,2.1,2.2,0.5,8.8,0.3,1.9,10.3,4.5,0.7,0.2,NA,7.4,0.7,2.2,14.3,4.8,NA,1.7,NA,2,NA,2.5,NA,10.3,0.3,17.3,0.8,15.2,7.4,7,,,,,
,Per capita food production variability,I$ per person constant 2004-06,2013,FAO,17.4,3.4,11,7.3,14,6.4,5.2,1.6,26.5,2.6,2.3,1.3,10.8,3.7,0.8,0.6,2.4,3.9,12.7,2.7,2.5,3.7,7.4,4.7,1.2,6.6,7.7,17.8,4.4,3.6,14.8,2.4,13.9,10.8,3.3,8.1,17.6,4.8,7,6.2,5.7,NA,NA,2.1,6.2,8.7,8.1,7.9,4.9,,,,,
,Per capita food supply variability,kcal/capita/day,2011,FAO,30,15,19,33,NA,32,13,16,39,15,NA,39,29,29,NA,NA,5,44,33,49,35,22,19,7,45,11,12,51,19,66,32,68,13,25,26,31,43,44,10,29,26,NA,NA,36,32,6,25,31,24,,,,,
,Value of food imports over total merchandise exports,"%, 3-yr avg",2011-2013,FAO,4,61,10,15,81,334,20,32,3,281,16,4,NA,661,1,373,50,5,162,12,31,46,24,18,75,25,17,16,14,24,19,8,25,6,43,232,57,16,64,124,4,NA,31,8,21,17,32,3,29,,,,,
,Percent of arable land equipped for irrigation,%,2012-14,FAO,1.8,0.9,0.7,0.9,2,6.6,0.5,0.1,0.6,0.2,0.2,0.4,NA,50,NA,3,5,1.2,1.1,0.7,3.1,8.3,2.6,1.1,0.6,31,2,5.8,10.4,25.2,2.1,1,0.6,0.9,0.8,100,3.7,100,1.9,18.8,13.4,NA,9.3,28.6,2.7,0.3,0.2,4.1,4.4,,,,,
,Cereal import dependency ratio,%,2009-11,FAO,64.1,41.6,100,12.6,NA,88.9,30.9,18.6,7.3,NA,NA,91.7,NA,100,NA,NA,7,87.2,37.7,28.6,16.4,34,32.7,74.7,54.1,13.2,1.2,7.8,87,94,30,69.6,9.2,19.2,32.5,NA,56.2,NA,27.8,NA,3.9,NA,18.3,68.8,12.2,17.2,8.6,-21.4,42.5,,,,,
,Land degradation (% territory),%,2003,http://www.isric.org/isric/webdocs/docs/Report%202008_01_GLADA%20international_REV_Nov%202008.pdf,66.42,12.57,16.3,3.38,48.56,9.3,31.89,20.37,4.11,8,57.43,58.95,36.47,27.76,54.81,12.84,26.33,64.58,12.35,21.11,37.18,52.19,18.02,34.08,45.34,27.91,26.05,2.87,0.61,0,28.26,35.01,1.78,9.9,43.3,12.5,17.66,0,50.04,8.24,28.82,NaN,6.63,95.22,40.87,19.48,17.58,60.41,46.12,,,,,
,Emissions (CO2equiv) for total agriculture,gigagrams,2014,FAO,NaN,NaN,NaN,NaN,NaN,NaN,11595,NaN,NaN,NaN,NaN,NaN,NaN,650.17,21.02,NaN,NaN,437.96,1209.82,NaN,NaN,NaN,"37,132.73",1447.49,NaN,"21,957.06",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10599.11,NaN,2826,NaN,NaN,43097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,Prevalence of severe food insecurity in the total population,%,2014-2016,FAO,NA,NA,35,16,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98,NA,NA,NA,24.49,NA,NA,13.28,3.2,NA,NA,NA,83.43,NA,NA,NA,32.36,NA,NA,NA,,,,,
,Number of severely food insecure people,millions,,,NA,NA,0.8,2.9,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,44.6,NA,NA,2,NA,NA,NA,NA,10.3,NA,NA,NA,2.4,NA,NA,NA,,,,,
,Global Hunger Index,IFPRI,2015,,NaN,NaN,NaN,NaN,NaN,NaN,24.2,NaN,NaN,NaN,NaN,NaN,26.3,33.2,NaN,NaN,NaN,12.5,21.5,NaN,NaN,NaN,24,23.2,NaN,36.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2,NaN,38.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,NaN,NaN,,,,,
,,IFPRI,2005,,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,32.7,46.1,NaN,NaN,NaN,16.2,26.3,NaN,NaN,NaN,36.6,30.2,NaN,44.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.5,NaN,52.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.2,NaN,NaN,,,,,
,,IFPRI,2000,,NaN,NaN,NaN,NaN,NaN,NaN,40.4,NaN,NaN,NaN,NaN,NaN,31.4,48.5,NaN,NaN,NaN,18.5,27.9,NaN,NaN,NaN,37.9,32.7,NaN,44.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.9,NaN,53.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.3,NaN,NaN,,,,,
,,IFPRI,1995,,NaN,NaN,NaN,NaN,NaN,NaN,43.7,NaN,NaN,NaN,NaN,NaN,32.1,56.1,NaN,NaN,NaN,20.8,35.4,NaN,NaN,NaN,40,28.5,NaN,45.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.9,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.9,NaN,NaN,,,,,
,,IFPRI,1990,,NaN,NaN,NaN,NaN,NaN,NaN,39.8,NaN,NaN,NaN,NaN,NaN,33.8,56.1,NaN,NaN,NaN,23.2,36.4,NaN,NaN,NaN,34.8,25.8,NaN,44.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.8,NaN,58.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.8,NaN,NaN,,,,,
,,IFPRI,2010,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,,,2011,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,Urban Population,1000 ha,2015,FAO,10052,4782,1181,5349,1304,333.1,12721,1923,3057,217.9,30275,3054,11538,695.8,319.1,1525,19266,1526,1175,14583,4589,882,11978,579,2238,8508,2816,6490,2442,497.3,8737,1116,3609,87680,3581,132,6544,50.52,2524,4399,34663,2285,13391,273.9,16528,2866,6463,6351,4871,758359.975,262734.375,3928.855,410203.689,53127.038
,Rural Population,1000 ha,2015,FAO,14970,6098,1081,12757,9875,187.4,10623,2977,10980,570.6,46992,1566,11164,192.1,526,3703,80125,199,816,12827,8020,962,34072,1556,2265,15727,14399,11110,1626,775.7,19241,1343,16290,94522,8029,58.3,8585,45.95,3929,6388,19827,10055,26844,1013,36942,4439,32569,9861,10732,635423.861,59848.631,17516.92,857198.16,105385.532
,Mortality Rate,deaths per 1000 population,2010-2015,UN,9.3,9.7,8.1,9.6,11.6,5.7,11.1,15.3,14,7.8,10.9,8.3,13.4,8.5,10.7,7.7,7.6,8.4,8.6,8.8,10.4,11.4,6.3,13.6,8.8,6.9,8.3,11.6,8.2,7.4,11.2,8.3,10.7,13.6,6.8,7.1,6.6,7.9,13.9,12.3,11.2,11.9,7.8,10.8,7.9,9.3,9.4,8.8,9.6,,,,,
